274.68;120;32.73589344;342.12;187;13.46985739;330;11.23;9.419445135;330;13.28;7.435813812;;;;0.01;0.000890472;0.000753012;;;;;;;;;
283;117;33.83543187;352.49;185;13.9368452;340;11.15;9.729934023;340;13.21;7.665339554;;;;0.01;0.000896861;0.000757002;;;;;;;;;
;;;362.86;184;14.17223574;350;11.08;10.00344472;350;13.14;7.896084793;;;;0.01;0.000902527;0.000761035;;;;;;;;;
;;;373.22;182;14.64687924;360;11;10.31815225;360;13.08;8.094846917;;;;0.01;0.000909091;0.000764526;;;;;;;;;
;;;383.59;181;14.88616056;370;10.93;10.5954;370;13;8.361286085;;;;0.01;0.000838223;0.000769231;;;;;;;;;
;;;393.96;179;15.36871495;380;10.86;10.87443824;380;12.94;8.562193682;;;;0.01;0.00092081;0.000772798;;;;;;;;;
;;;404.33;177.7;15.68527526;390;10.8;11.11504521;390;12.88;8.764035013;;;;0.01;0.000925926;0.000776398;;;;;;;;;
;;;414.69;176;16.10275126;400;10.73;11.39744856;400;12.81;9.000708341;;;;0.01;0.000931966;0.00078064;;;;;;;;;
;;;425.06;174;16.59909322;410;10.66;11.68170029;410;12.75;9.204602838;;;;0.01;0.000938086;0.000784314;;;;;;;;;
;;;435.43;173;16.84940773;420;10.59;11.96782475;420;12.68;9.443695961;;;;0.01;0.000944287;0.000788644;;;;;;;;;
;;;445.8;171.2;17.30364201;430;10.52;12.25584678;430;12.61;9.684112658;;;;0.01;0.00095057;0.000793021;;;;;;;;;
;;;456.16;170;17.60912591;440;10.45;12.54579172;440;12.55;9.891248734;;;;0.01;0.000956938;0.000796813;;;;;;;;;
;;;466.53;169;17.86534758;450;10.38;12.83768541;450;12.49;10.09937748;;;;0.01;0.000963391;0.000800641;;;;;;;;;
;;;476.9;167;18.38237093;460;10.31;13.13155423;460;12.43;10.30850845;;;;0.01;0.000969932;0.000804505;;;;;;;;;
;;;487.27;165;18.90562362;470;10.25;13.38503422;470;12.37;10.51865135;;;;0.01;0.00097561;0.000808407;;;;;;;;;
;;;;;;480;10.18;13.68264296;480;12.31;10.72981602;;;;0.01;0.000982318;0.000812348;;;;;;;;;
;;;;;;490;10.12;13.93936951;490;12.25;10.94201245;;;;0.01;0.000988142;0.000816327;;;;;;;;;
;;;;;;500;10.05;14.24081459;500;12.19;11.15525075;;;;0.01;0.000995025;0.000820345;;;;;;;;;
;;;;;;510;9.99;14.50087194;510;12.13;11.36954123;;;;0.01;0.001001001;0.000824402;;;;;;;;;
;;;;;;520;9.92;14.80625355;520;12.07;11.58489431;;;;0.01;0.001008065;0.0008285;;;;;;;;;
;;;;;;530;9.86;15.06972927;530;12.01;11.80132058;;;;0.01;0.001014199;0.000832639;;;;;;;;;
;;;;;;540;9.8;15.33481319;540;11.96;11.98250335;;;;0.01;0.001020408;0.00083612;;;;;;;;;
;;;;;;;;;550;11.9;12.20092518;;;;0.01;;0.000840336;;;;;;;;;
;;;;;;;;;560;11.84;12.42045108;;;;0.01;;0.000844595;;;;;;;;;
;;;;;;;;;570;11.79;12.60424081;;;;0.01;;0.000848176;;;;;;;;;
;;;;;;;;;580;11.73;12.8258201;;;;0.01;;0.000852515;;;;;;;;;
;;;;;;;;;590;11.67;13.04853571;;;;0.01;;0.000856898;;;;;;;;;
;;;;;;;;;600;11.62;13.23500851;;;;0.01;;0.000860585;;;;;;;;;
