t; U; l
410;12.75;9.20
420;12.68;9.44
430;12.61;9.68
440;12.55;9.89
450;12.49;10.10
460;12.43;10.31
470;12.37;10.52
480;12.31;10.73
490;12.25;10.94
500;12.19;11.16
510;12.13;11.37
520;12.07;11.58
530;12.01;11.80
540;11.96;11.98
550;11.9;12.20
560;11.84;12.42
570;11.79;12.60
580;11.73;12.83
590;11.67;13.05
600;11.62;13.24
