t;U;l
0;15.76;0.00
10;15.71;0.14
20;15.64;0.33
30;15.55;0.58
40;15.47;0.81
50;15.38;1.06
60;15.3;1.29
70;15.21;1.54
80;15.13;1.77
90;15.05;2.00
100;14.97;2.23
110;14.89;2.47
120;14.8;2.73
130;14.73;2.94
140;14.65;3.17
150;14.57;3.41
160;14.49;3.65
170;14.42;3.86
180;14.34;4.10
190;14.28;4.28
200;14.2;4.53
210;14.12;4.77
220;14.05;4.99
230;13.98;5.20
240;13.91;5.42
250;13.84;5.64
260;13.76;5.89
270;13.69;6.12
280;13.62;6.34
290;13.55;6.56
300;13.48;6.79
310;13.41;7.01
320;13.34;7.24
330;13.28;7.44
340;13.21;7.67
350;13.14;7.90
360;13.08;8.09
370;13;8.36
380;12.94;8.56
390;12.88;8.76
400;12.81;9.00
410;12.75;9.20
420;12.68;9.44
430;12.61;9.68
440;12.55;9.89
450;12.49;10.10
460;12.43;10.31
470;12.37;10.52
480;12.31;10.73
490;12.25;10.94
500;12.19;11.16
510;12.13;11.37
520;12.07;11.58
530;12.01;11.80
540;11.96;11.98
550;11.9;12.20
560;11.84;12.42
570;11.79;12.60
580;11.73;12.83
590;11.67;13.05
600;11.62;13.24
