t; U; l
0;15.76;0.00
10;15.71;0.14
20;15.64;0.33
30;15.55;0.58
40;15.47;0.81
50;15.38;1.06
60;15.3;1.29
70;15.21;1.54
80;15.13;1.77
90;15.05;2.00
100;14.97;2.23
110;14.89;2.47
120;14.8;2.73
130;14.73;2.94
140;14.65;3.17
150;14.57;3.41
160;14.49;3.65
170;14.42;3.86
180;14.34;4.10
190;14.28;4.28
200;14.2;4.53

